Date           ,Price          ,SuperTrend     ,LowerBand      ,UpperBand      
2020-03-01 19:00:00 -0500 EST,8542.33        ,true           ,8587.44        ,8587.44        
2020-03-02 19:00:00 -0500 EST,8911.44        ,true           ,8732.39        ,NaN            
2020-03-03 19:00:00 -0500 EST,8760.36        ,true           ,8789.89        ,NaN            
2020-03-04 19:00:00 -0500 EST,8753.29        ,false          ,NaN            ,8759.43        
2020-03-05 19:00:00 -0500 EST,9059.99        ,true           ,8955.35        ,NaN            
2020-03-06 19:00:00 -0500 EST,9133.60        ,true           ,9078.92        ,NaN            
2020-03-07 19:00:00 -0500 EST,8885.91        ,false          ,NaN            ,9007.04        
2020-03-08 20:00:00 -0400 EDT,8029.57        ,false          ,NaN            ,8447.29        
2020-03-09 20:00:00 -0400 EDT,7934.90        ,false          ,NaN            ,7900.98        
2020-03-10 20:00:00 -0400 EDT,7886.43        ,false          ,NaN            ,7900.98        
2020-03-11 20:00:00 -0400 EDT,7932.81        ,true           ,6611.71        ,NaN            
2020-03-12 20:00:00 -0400 EDT,4858.38        ,false          ,NaN            ,8306.25        
2020-03-13 20:00:00 -0400 EDT,5580.84        ,false          ,NaN            ,7462.78        
2020-03-14 20:00:00 -0400 EDT,5177.10        ,false          ,NaN            ,7462.78        
2020-03-15 20:00:00 -0400 EDT,5364.49        ,false          ,NaN            ,7462.78        
2020-03-16 20:00:00 -0400 EDT,5024.35        ,false          ,NaN            ,7462.78        
2020-03-17 20:00:00 -0400 EDT,5331.58        ,false          ,NaN            ,7462.78        
2020-03-18 20:00:00 -0400 EDT,5395.85        ,false          ,NaN            ,7462.78        
2020-03-19 20:00:00 -0400 EDT,6168.45        ,false          ,NaN            ,7462.78        
2020-03-20 20:00:00 -0400 EDT,6208.43        ,false          ,NaN            ,7462.78        
2020-03-21 20:00:00 -0400 EDT,6190.00        ,false          ,NaN            ,7462.78        
2020-03-22 20:00:00 -0400 EDT,5817.86        ,false          ,NaN            ,7462.78        
2020-03-23 20:00:00 -0400 EDT,6482.14        ,false          ,NaN            ,7462.78        
2020-03-24 20:00:00 -0400 EDT,6747.72        ,false          ,NaN            ,7462.78        
2020-03-25 20:00:00 -0400 EDT,6679.68        ,false          ,NaN            ,7462.78        
2020-03-26 20:00:00 -0400 EDT,6737.37        ,false          ,NaN            ,7462.78        
2020-03-27 20:00:00 -0400 EDT,6359.74        ,false          ,NaN            ,7462.78        
2020-03-28 20:00:00 -0400 EDT,6245.29        ,false          ,NaN            ,7462.78        
2020-03-29 20:00:00 -0400 EDT,5882.19        ,false          ,NaN            ,7462.78        
2020-03-30 20:00:00 -0400 EDT,6394.43        ,false          ,NaN            ,7462.78        
2020-03-31 20:00:00 -0400 EDT,6410.77        ,false          ,NaN            ,7462.78        
2020-04-01 20:00:00 -0400 EDT,6639.94        ,false          ,NaN            ,7462.78        
2020-04-02 20:00:00 -0400 EDT,6806.35        ,false          ,NaN            ,7462.78        
2020-04-03 20:00:00 -0400 EDT,6728.99        ,false          ,NaN            ,7462.78        
2020-04-04 20:00:00 -0400 EDT,6856.83        ,false          ,NaN            ,7462.78        
2020-04-05 20:00:00 -0400 EDT,6772.17        ,false          ,NaN            ,7462.78        
2020-04-06 20:00:00 -0400 EDT,7333.84        ,false          ,NaN            ,7462.78        
2020-04-07 20:00:00 -0400 EDT,7202.04        ,false          ,NaN            ,7462.78        
2020-04-08 20:00:00 -0400 EDT,7359.54        ,false          ,NaN            ,7462.78        
2020-04-09 20:00:00 -0400 EDT,7284.90        ,false          ,NaN            ,7462.78        
2020-04-10 20:00:00 -0400 EDT,6860.20        ,false          ,NaN            ,7462.78        
2020-04-11 20:00:00 -0400 EDT,6877.62        ,false          ,NaN            ,7462.78        
2020-04-12 20:00:00 -0400 EDT,6899.17        ,false          ,NaN            ,7462.78        
2020-04-13 20:00:00 -0400 EDT,6840.46        ,false          ,NaN            ,7462.78        
2020-04-14 20:00:00 -0400 EDT,6867.91        ,false          ,NaN            ,7462.78        
2020-04-15 20:00:00 -0400 EDT,6622.88        ,false          ,NaN            ,7462.78        
2020-04-16 20:00:00 -0400 EDT,7103.79        ,false          ,NaN            ,7462.78        
2020-04-17 20:00:00 -0400 EDT,7025.48        ,false          ,NaN            ,7462.78        
2020-04-18 20:00:00 -0400 EDT,7248.89        ,false          ,NaN            ,7462.78        
2020-04-19 20:00:00 -0400 EDT,7121.99        ,false          ,NaN            ,7462.78        
2020-04-20 20:00:00 -0400 EDT,6832.13        ,false          ,NaN            ,7462.78        
2020-04-21 20:00:00 -0400 EDT,6842.01        ,false          ,NaN            ,7462.78        
2020-04-22 20:00:00 -0400 EDT,7124.35        ,false          ,NaN            ,7462.78        
2020-04-23 20:00:00 -0400 EDT,7483.61        ,true           ,6346.72        ,NaN            
2020-04-24 20:00:00 -0400 EDT,7505.00        ,true           ,6496.96        ,NaN            
2020-04-25 20:00:00 -0400 EDT,7539.43        ,true           ,6579.90        ,NaN            
2020-04-26 20:00:00 -0400 EDT,7692.17        ,true           ,6777.09        ,NaN            
2020-04-27 20:00:00 -0400 EDT,7773.79        ,true           ,6869.20        ,NaN            
2020-04-28 20:00:00 -0400 EDT,7748.65        ,true           ,6935.72        ,NaN            
2020-04-29 20:00:00 -0400 EDT,8779.13        ,true           ,7249.59        ,NaN            
2020-04-30 20:00:00 -0400 EDT,8638.11        ,true           ,7664.43        ,NaN            
2020-05-01 20:00:00 -0400 EDT,8827.35        ,true           ,7664.43        ,NaN            
2020-05-02 20:00:00 -0400 EDT,8970.95        ,true           ,7664.43        ,NaN            
2020-05-03 20:00:00 -0400 EDT,8892.62        ,true           ,7693.88        ,NaN            
2020-05-04 20:00:00 -0400 EDT,8875.34        ,true           ,7693.88        ,NaN            
2020-05-05 20:00:00 -0400 EDT,9023.50        ,true           ,7693.88        ,NaN            
2020-05-06 20:00:00 -0400 EDT,9147.00        ,true           ,7700.04        ,NaN            
2020-05-07 20:00:00 -0400 EDT,9980.85        ,true           ,7837.78        ,NaN            
2020-05-08 20:00:00 -0400 EDT,9804.76        ,true           ,8104.24        ,NaN            
2020-05-09 20:00:00 -0400 EDT,9546.70        ,true           ,8200.24        ,NaN            
2020-05-10 20:00:00 -0400 EDT,8745.00        ,true           ,8200.24        ,NaN            
2020-05-11 20:00:00 -0400 EDT,8605.03        ,true           ,8200.24        ,NaN            
2020-05-12 20:00:00 -0400 EDT,8812.97        ,true           ,8200.24        ,NaN            
2020-05-13 20:00:00 -0400 EDT,9306.62        ,true           ,8200.24        ,NaN            
2020-05-14 20:00:00 -0400 EDT,9787.67        ,true           ,8200.24        ,NaN            
2020-05-15 20:00:00 -0400 EDT,9317.51        ,true           ,8200.24        ,NaN            
2020-05-16 20:00:00 -0400 EDT,9382.65        ,true           ,8200.24        ,NaN            
2020-05-17 20:00:00 -0400 EDT,9680.00        ,true           ,8200.24        ,NaN            
2020-05-18 20:00:00 -0400 EDT,9729.43        ,true           ,8200.24        ,NaN            
2020-05-19 20:00:00 -0400 EDT,9774.05        ,true           ,8200.24        ,NaN            
2020-05-20 20:00:00 -0400 EDT,9511.43        ,true           ,8200.24        ,NaN            
2020-05-21 20:00:00 -0400 EDT,9036.57        ,true           ,8200.24        ,NaN            
2020-05-22 20:00:00 -0400 EDT,9168.99        ,true           ,8200.24        ,NaN            
2020-05-23 20:00:00 -0400 EDT,9179.84        ,true           ,8200.24        ,NaN            
2020-05-24 20:00:00 -0400 EDT,8710.47        ,true           ,8200.24        ,NaN            
2020-05-25 20:00:00 -0400 EDT,8900.22        ,true           ,8200.24        ,NaN            
2020-05-26 20:00:00 -0400 EDT,8843.00        ,true           ,8200.24        ,NaN            
2020-05-27 20:00:00 -0400 EDT,9197.04        ,true           ,8200.24        ,NaN            
2020-05-28 20:00:00 -0400 EDT,9565.34        ,true           ,8200.24        ,NaN            
2020-05-29 20:00:00 -0400 EDT,9425.19        ,true           ,8262.09        ,NaN            
2020-05-30 20:00:00 -0400 EDT,9695.00        ,true           ,8354.28        ,NaN            
2020-05-31 20:00:00 -0400 EDT,9461.20        ,true           ,8494.60        ,NaN            
2020-06-01 20:00:00 -0400 EDT,10190.01       ,true           ,8651.95        ,NaN            
2020-06-02 20:00:00 -0400 EDT,9527.07        ,true           ,8651.95        ,NaN            
2020-06-03 20:00:00 -0400 EDT,9657.84        ,true           ,8651.95        ,NaN            
2020-06-04 20:00:00 -0400 EDT,9793.58        ,true           ,8651.95        ,NaN            
2020-06-05 20:00:00 -0400 EDT,9627.35        ,true           ,8651.95        ,NaN            
2020-06-06 20:00:00 -0400 EDT,9669.74        ,true           ,8651.95        ,NaN            
2020-06-07 20:00:00 -0400 EDT,9745.75        ,true           ,8651.95        ,NaN            
2020-06-08 20:00:00 -0400 EDT,9780.25        ,true           ,8651.95        ,NaN            
2020-06-09 20:00:00 -0400 EDT,9770.21        ,true           ,8651.95        ,NaN            
2020-06-10 20:00:00 -0400 EDT,9884.06        ,true           ,8674.84        ,NaN            
2020-06-11 20:00:00 -0400 EDT,9275.73        ,true           ,8674.84        ,NaN            
2020-06-12 20:00:00 -0400 EDT,9464.99        ,true           ,8674.84        ,NaN            
2020-06-13 20:00:00 -0400 EDT,9471.45        ,true           ,8674.84        ,NaN            
2020-06-14 20:00:00 -0400 EDT,9340.89        ,true           ,8674.84        ,NaN            
2020-06-15 20:00:00 -0400 EDT,9425.00        ,true           ,8674.84        ,NaN            
2020-06-16 20:00:00 -0400 EDT,9525.83        ,true           ,8674.84        ,NaN            
2020-06-17 20:00:00 -0400 EDT,9464.13        ,true           ,8674.84        ,NaN            
2020-06-18 20:00:00 -0400 EDT,9385.75        ,true           ,8674.84        ,NaN            
2020-06-19 20:00:00 -0400 EDT,9310.19        ,true           ,8674.84        ,NaN            
2020-06-20 20:00:00 -0400 EDT,9358.52        ,true           ,8674.84        ,NaN            
2020-06-21 20:00:00 -0400 EDT,9294.76        ,true           ,8674.84        ,NaN            
2020-06-22 20:00:00 -0400 EDT,9685.55        ,true           ,8749.40        ,NaN            
2020-06-23 20:00:00 -0400 EDT,9625.00        ,true           ,8876.46        ,NaN            
2020-06-24 20:00:00 -0400 EDT,9302.30        ,true           ,8876.46        ,NaN            
2020-06-25 20:00:00 -0400 EDT,9250.30        ,true           ,8876.46        ,NaN            
2020-06-26 20:00:00 -0400 EDT,9162.11        ,true           ,8876.46        ,NaN            
2020-06-27 20:00:00 -0400 EDT,9012.00        ,true           ,8876.46        ,NaN            
2020-06-28 20:00:00 -0400 EDT,9110.00        ,true           ,8876.46        ,NaN            
2020-06-29 20:00:00 -0400 EDT,9187.08        ,true           ,8876.46        ,NaN            
2020-06-30 20:00:00 -0400 EDT,9136.05        ,true           ,8876.46        ,NaN            
2020-07-01 20:00:00 -0400 EDT,9232.00        ,true           ,8876.46        ,NaN            
2020-07-02 20:00:00 -0400 EDT,9085.68        ,true           ,8876.46        ,NaN            
2020-07-03 20:00:00 -0400 EDT,9061.42        ,true           ,8876.46        ,NaN            
2020-07-04 20:00:00 -0400 EDT,9138.06        ,true           ,8876.46        ,NaN            
2020-07-05 20:00:00 -0400 EDT,9084.32        ,true           ,8876.46        ,NaN            
2020-07-06 20:00:00 -0400 EDT,9340.78        ,true           ,8876.46        ,NaN            
2020-07-07 20:00:00 -0400 EDT,9258.03        ,true           ,8876.46        ,NaN            
2020-07-08 20:00:00 -0400 EDT,9436.90        ,true           ,8876.46        ,NaN            
